54 -96
8 25 13
20 39 15
18 48 20
43 54 23
48 53 14
41 6 7
40 22 13
21 11 17
11 4 18
6 46 24
41 31 2
53 45 4
1 5 18
26 42 4
6 45 9
14 48 10
1 51 15
24 17 13
16 5 -5
15 19 6
36 23 20
41 53 10
48 22 24
50 30 18
8 14 17
2 53 14
30 50 9
14 32 3
40 6 11
54 43 10
7 45 13
35 3 25
14 5 6
6 25 10
26 17 20
1 10 14
1 7 24
48 52 17
42 27 4
42 44 20
47 3 12
7 19 14
31 20 10
49 12 7
12 14 10
2 45 25
12 16 16
4 22 1
35 6 16
37 41 24
46 15 17
36 38 19
13 21 20
1 4 2
18 41 11
12 38 6
11 32 15
3 14 8
29 42 5
50 45 20
41 31 17
36 11 4
1 8 4
8 43 17
23 7 19
12 19 13
21 40 3
50 28 6
4 37 5
1 6 25
1 2 18
51 34 7
25 44 17
39 42 19
28 42 7
52 17 20
1 9 25
45 28 21
8 40 25
39 14 5
26 24 1
1 3 14
25 24 25
32 53 25
9 23 11
33 5 18
16 38 1
3 13 20
15 36 25
40 13 24
34 17 6
16 28 18
3 9 4
12 36 10
1 49 20
