40 -234
15 12 15
20 5 20
24 35 2
31 29 3
6 18 24
14 8 24
32 17 6
30 16 16
7 28 25
2 31 13
24 12 3
6 37 3
28 21 2
19 11 21
32 11 2
29 10 16
28 12 8
22 27 -2
16 39 16
11 8 7
6 9 14
21 24 17
4 19 25
30 24 22
2 35 13
18 40 9
17 10 12
33 9 1
37 32 20
8 29 12
6 25 22
7 23 13
17 34 6
35 38 13
9 37 7
14 20 18
7 5 16
11 26 17
35 30 18
29 20 1
29 36 6
7 30 18
15 38 10
24 5 2
30 33 18
32 35 7
40 2 12
26 22 21
18 17 9
15 2 8
3 27 19
32 3 20
2 30 10
1 37 6
17 8 17
7 16 9
8 10 10
5 40 1
19 14 24
32 39 4
19 32 5
30 3 22
2 22 17
2 37 15
29 37 7
13 5 24
11 32 25
38 28 2
40 2 14
20 32 16
29 33 3
15 13 1
12 36 1
26 17 18
10 37 21
3 40 18
29 25 17
19 23 20
38 35 7
28 11 22
6 35 3
33 28 12
17 29 14
10 14 13
23 14 4
28 16 12
38 35 25
29 1 10
9 19 15
39 12 20
31 39 13
38 3 14
15 39 22
15 35 9
11 28 2
30 17 25
31 33 8
35 34 6
32 30 5
27 13 9
35 28 8
20 40 15
36 40 24
7 25 12
36 17 22
17 36 21
32 37 10
17 28 17
40 11 2
14 30 10
4 15 20
28 24 2
14 1 13
16 30 21
40 9 23
7 13 13
31 17 23
16 4 11
32 16 8
3 33 10
37 18 23
20 1 1
39 4 11
29 12 23
15 5 6
1 6 9
21 37 12
22 40 2
7 6 10
34 12 15
34 26 14
19 13 6
32 1 10
27 1 21
4 20 3
15 17 7
13 36 11
23 34 25
40 11 22
24 20 22
24 19 2
8 9 1
27 13 22
24 35 1
2 24 7
23 10 6
23 36 25
14 38 9
8 28 8
35 7 1
22 25 25
36 21 14
7 18 4
11 10 24
9 38 18
40 24 18
22 11 -2
36 15 13
11 15 1
22 3 24
25 36 11
33 38 15
8 40 12
23 36 18
9 26 10
14 6 4
9 1 20
5 6 18
21 11 6
22 16 15
29 23 12
28 4 21
35 30 5
8 27 5
19 23 21
40 24 11
12 17 24
9 22 24
25 40 17
12 27 1
12 10 12
32 19 25
11 20 2
21 29 14
14 5 10
34 2 20
31 4 13
4 6 10
25 34 24
22 21 16
29 15 21
39 29 21
36 3 15
31 30 4
26 23 9
26 3 6
18 1 2
32 11 14
10 34 6
38 13 12
37 15 4
40 37 22
26 24 1
11 10 21
22 8 24
16 32 7
9 33 19
32 20 16
26 20 22
35 21 18
40 16 20
15 22 14
5 20 17
10 36 24
24 6 19
3 24 11
23 3 21
37 39 19
21 6 7
35 24 7
6 1 6
22 35 16
10 26 13
34 22 2
18 40 14
25 29 5
8 10 4
9 32 22
1 19 3
28 16 1
31 27 12
5 25 22
24 31 23
21 38 20
