58 -439
7 43 14
4 50 11
27 12 9
39 26 11
46 50 24
42 28 -1
2 42 23
3 15 19
11 48 24
26 47 16
31 40 21
8 45 19
1 52 21
30 56 6
29 32 25
57 49 23
33 22 2
54 45 20
22 4 15
20 48 2
47 44 18
46 23 24
49 10 18
40 54 8
40 35 4
3 33 18
1 33 25
41 12 -2
40 12 20
29 9 14
18 27 2
9 54 2
24 42 3
29 12 24
32 40 3
25 1 4
33 52 1
25 35 24
41 30 14
39 11 17
6 7 12
6 37 25
42 1 8
13 39 1
49 14 1
29 8 13
39 45 24
17 29 5
46 50 23
18 50 7
2 10 20
28 9 9
26 50 17
41 19 9
8 49 -3
31 14 4
27 30 16
24 14 20
43 16 13
21 10 17
43 8 18
34 32 19
24 38 5
48 10 1
12 35 21
21 11 18
15 9 19
41 26 25
8 33 11
50 28 11
41 30 4
31 1 20
46 45 6
2 45 9
13 11 9
5 27 2
5 19 -1
34 43 23
40 34 20
54 40 20
27 41 25
7 34 3
40 7 20
9 45 14
39 40 20
5 6 18
16 24 14
11 54 20
42 23 12
21 52 4
41 10 17
13 33 10
48 23 19
6 32 17
14 29 1
18 3 15
49 28 6
35 25 20
27 22 16
34 46 1
23 33 14
44 24 18
19 17 12
14 16 3
45 34 9
39 1 23
54 28 18
4 36 19
50 20 20
37 52 16
21 22 3
33 28 1
24 29 8
15 11 14
57 2 16
58 54 22
1 9 20
45 56 14
31 43 2
34 58 6
35 9 12
3 51 15
38 40 6
14 50 5
58 17 23
35 41 9
20 39 17
57 41 12
16 8 19
12 15 1
55 2 9
10 15 8
19 36 -2
53 17 6
6 10 6
18 6 25
56 18 14
19 9 -2
51 23 19
12 21 25
48 30 16
45 26 13
2 24 24
3 43 24
51 35 2
54 5 15
30 46 20
49 4 6
11 57 6
29 40 24
51 27 16
27 25 6
56 34 8
42 25 20
42 6 16
53 42 3
11 42 8
30 35 1
54 32 19
38 5 20
55 29 17
17 26 8
51 26 25
45 48 23
15 7 20
41 58 10
34 14 20
51 49 8
26 14 5
30 11 21
32 3 8
32 7 15
17 52 20
53 34 12
50 7 25
24 35 8
21 43 -3
39 43 5
37 51 19
7 43 13
46 48 4
6 23 19
57 24 20
56 40 14
33 11 13
52 35 3
29 48 5
10 29 12
47 35 -5
14 19 16
43 51 7
2 38 20
17 7 3
27 13 8
30 50 21
13 1 5
47 18 18
24 8 18
22 11 21
49 27 7
31 8 1
30 45 9
55 47 5
30 1 2
56 9 12
6 15 15
30 57 10
1 44 19
17 3 19
25 48 7
23 25 21
58 50 4
29 54 6
28 55 2
4 27 16
33 10 17
1 10 22
39 11 11
15 14 12
23 13 15
30 34 12
19 20 6
28 52 5
39 34 12
33 34 10
46 5 19
4 38 12
50 10 20
50 33 22
28 32 23
12 13 19
30 44 16
4 8 16
48 6 11
50 36 23
3 52 25
13 5 10
43 4 24
1 55 24
47 25 6
8 27 8
19 37 8
16 52 18
45 17 19
10 47 5
28 24 14
15 17 17
10 39 10
29 43 23
44 17 1
19 52 19
45 28 6
21 52 21
55 34 2
7 58 13
31 47 17
43 53 24
23 42 4
16 21 25
8 52 23
32 5 15
46 50 16
7 34 6
31 21 9
29 13 4
4 33 17
17 32 8
52 14 4
49 21 10
23 27 2
57 11 6
26 43 -3
30 17 20
6 29 14
1 9 1
34 5 3
3 36 20
37 56 12
39 37 7
20 35 23
11 54 9
2 34 2
7 27 16
43 15 24
57 48 23
34 32 -1
14 40 18
50 31 14
30 51 17
13 53 13
43 31 4
36 32 16
44 20 19
17 39 10
23 53 9
44 4 20
56 46 4
12 39 2
44 57 22
43 26 19
49 32 6
43 7 24
38 40 9
5 10 14
6 40 14
28 20 24
1 5 12
11 46 23
4 28 22
52 40 24
5 44 24
17 39 14
8 44 22
23 37 14
8 33 3
30 35 9
29 3 24
58 24 15
40 13 24
17 35 7
43 26 5
8 47 14
32 53 18
28 31 1
18 53 4
32 56 23
26 46 6
9 21 13
26 23 13
48 34 16
36 31 20
32 34 22
11 7 17
45 42 5
31 42 3
6 2 9
21 37 8
46 33 10
35 28 18
49 20 13
23 57 5
13 29 14
5 28 25
10 53 10
12 22 6
29 52 6
58 40 18
16 9 8
13 33 11
28 23 10
24 17 22
8 17 22
6 1 12
16 20 -5
28 37 21
27 44 17
41 55 16
47 16 21
6 54 5
34 46 11
18 10 6
23 3 11
3 31 16
40 13 23
47 43 7
12 33 10
3 32 7
34 56 24
24 17 17
41 35 15
56 22 18
33 46 20
45 52 9
32 3 15
6 8 24
22 9 19
51 53 12
36 4 10
28 26 24
15 56 13
2 4 25
48 38 8
13 48 17
4 24 5
4 32 18
32 21 23
32 13 19
5 9 20
39 54 3
24 28 12
10 6 22
38 51 3
52 1 3
53 50 4
57 27 14
38 35 13
5 24 22
50 15 13
32 29 13
12 2 -5
15 14 20
40 43 23
41 50 21
1 12 8
31 53 20
34 53 9
50 44 12
28 33 18
38 58 10
39 12 1
42 13 20
22 20 10
13 32 9
8 50 13
51 22 6
55 16 -1
39 5 7
20 14 23
25 32 25
44 37 14
57 28 1
1 41 12
10 44 3
30 15 20
9 2 2
26 2 23
17 9 23
21 58 15
19 30 3
14 18 3
54 24 2
17 3 3
38 18 17
22 35 7
26 21 23
35 27 24
30 15 24
56 43 12
58 7 17
