42 -387
5 1 6
38 23 6
19 34 14
36 22 8
8 23 4
21 15 12
19 7 24
24 12 3
27 39 17
41 27 14
19 27 20
27 8 11
39 30 17
25 36 12
6 34 25
26 21 18
7 30 25
3 22 18
17 25 13
18 1 17
39 23 14
20 22 4
24 7 18
31 17 24
5 31 14
40 27 14
38 33 5
24 8 19
31 21 12
15 6 -4
28 21 15
29 39 1
6 7 21
29 31 -3
25 5 19
37 19 12
24 7 13
39 25 18
7 20 11
28 13 25
38 41 4
16 36 17
32 9 19
27 38 11
34 32 10
34 24 6
31 39 24
10 4 13
29 11 13
37 14 14
18 27 1
37 14 23
8 29 14
8 29 23
34 5 10
3 17 23
38 14 18
28 9 4
23 4 -3
20 9 5
26 27 19
38 28 20
13 27 17
14 17 23
38 40 21
23 27 22
41 37 3
10 4 17
15 8 19
7 22 11
39 3 17
36 21 14
23 11 23
38 21 16
38 2 12
16 2 18
39 7 14
31 12 15
24 22 5
28 8 21
17 16 15
19 21 23
31 5 12
40 26 11
41 22 9
41 37 16
35 2 18
4 37 16
32 16 7
21 13 17
8 10 18
15 42 15
30 2 1
40 7 24
18 41 19
35 29 13
13 21 22
35 13 5
5 29 11
19 10 18
8 17 7
7 11 -5
28 23 22
17 27 15
17 38 24
24 21 13
33 8 19
4 30 8
14 4 24
15 12 24
26 8 9
42 33 15
36 40 4
41 2 12
12 22 22
6 20 5
29 25 13
9 14 12
9 33 25
5 2 24
16 4 3
24 10 7
25 22 24
28 27 10
8 36 11
19 20 13
38 40 1
32 33 9
31 26 20
30 28 12
36 20 2
38 17 8
25 18 22
11 39 3
3 31 18
25 14 15
38 24 6
1 35 4
22 24 20
12 2 25
41 23 25
4 36 22
25 33 6
42 40 22
24 39 15
39 8 24
39 17 2
24 32 12
24 13 17
34 41 5
17 26 12
7 40 11
3 4 22
36 42 -1
37 20 13
18 36 14
28 3 20
19 13 8
17 33 11
15 3 -5
19 8 24
26 32 8
40 13 15
12 2 15
22 27 15
31 3 12
29 40 9
10 39 7
38 23 18
18 17 5
13 16 21
4 39 4
10 32 13
24 4 11
35 42 20
28 33 6
6 27 16
42 36 1
12 24 25
28 10 13
5 12 4
39 4 12
33 30 8
29 20 22
19 18 13
20 14 11
39 7 23
20 6 7
24 39 18
29 32 23
30 37 9
31 10 5
36 26 12
27 17 14
9 39 12
4 23 23
8 11 5
31 28 22
15 17 22
32 16 16
12 16 15
34 5 18
13 1 13
2 8 14
31 40 5
19 34 25
1 40 12
18 39 19
13 15 24
13 5 1
35 15 11
19 41 15
3 41 15
17 13 13
31 6 2
4 38 16
2 38 23
36 32 22
2 27 4
11 18 8
30 21 18
11 21 13
6 3 8
29 38 20
19 33 6
1 25 9
2 15 7
39 33 15
2 15 16
23 8 20
26 17 13
14 13 15
29 38 6
17 1 11
13 27 6
36 3 4
27 30 9
12 23 22
39 21 18
3 25 6
11 24 18
5 11 1
30 40 4
10 34 16
5 41 20
30 9 16
39 25 24
4 29 15
8 29 16
42 30 22
9 11 10
22 33 20
6 14 16
17 1 6
2 34 11
15 1 22
13 30 6
34 20 24
39 13 18
38 17 21
8 17 19
22 18 3
18 3 13
26 12 23
37 33 24
25 39 9
18 30 12
26 38 7
4 33 25
21 17 21
42 23 5
26 42 14
19 9 24
35 40 11
35 21 7
16 17 13
15 38 11
36 10 2
37 2 13
7 14 13
33 42 10
38 35 24
4 22 2
12 27 23
13 29 19
3 35 14
42 14 9
16 40 1
41 29 18
2 25 1
31 24 13
22 18 2
14 8 24
36 21 6
9 14 10
2 40 25
23 22 20
28 26 25
4 10 4
7 26 9
12 8 4
4 24 15
37 6 1
1 12 14
28 8 22
29 30 9
23 18 13
33 24 10
8 40 6
30 27 23
36 23 20
32 15 13
12 37 12
2 29 11
22 13 4
26 34 4
27 25 22
6 24 10
3 42 16
16 34 24
12 18 13
11 20 5
20 30 19
2 24 8
25 23 9
2 24 17
27 17 23
2 13 17
33 4 18
37 21 12
17 26 15
27 10 20
33 7 10
5 25 5
32 18 13
34 26 19
31 19 9
23 33 1
26 34 17
12 6 25
29 36 15
37 9 15
2 24 21
37 18 2
13 35 10
34 15 14
18 36 21
35 24 6
17 41 13
17 11 12
26 3 25
9 32 12
22 1 19
28 26 10
21 17 -4
24 35 1
20 8 17
29 40 7
39 15 25
37 12 11
34 7 5
39 5 -1
2 11 18
6 35 4
14 34 7
21 19 10
16 7 1
10 21 1
15 6 2
13 6 1
23 17 15
8 42 4
7 12 22
42 6 3
11 18 7
12 17 10
39 38 8
38 15 12
8 4 13
17 3 3
38 7 17
30 34 10
1 34 4
22 27 21
38 27 22
18 5 1
30 8 3
