57 -364
22 11 9
14 25 1
22 42 24
21 34 25
24 19 24
19 7 24
35 57 15
51 11 4
30 3 9
16 49 6
28 48 10
45 47 4
50 48 22
43 55 24
41 42 2
35 27 19
35 23 12
13 4 21
37 12 14
5 31 14
11 9 19
23 31 25
8 56 23
17 32 11
18 31 17
1 13 15
24 56 13
14 18 11
13 8 14
31 9 6
20 22 17
2 8 2
37 45 15
42 38 20
47 32 16
4 22 24
45 16 7
38 6 24
26 12 17
8 30 1
20 33 3
29 11 22
13 45 21
55 45 9
6 44 19
55 45 18
57 37 7
2 52 12
16 55 16
45 43 19
4 2 22
17 24 15
11 12 19
26 8 24
52 3 24
42 56 23
18 53 3
36 51 19
42 34 4
50 2 3
7 41 24
23 39 14
7 4 2
49 48 16
43 49 10
53 46 20
34 23 13
41 33 10
20 29 5
37 21 16
45 38 11
8 6 12
32 12 10
12 4 5
56 1 8
23 41 19
48 8 3
29 53 5
51 1 15
41 7 2
1 20 25
19 17 3
32 19 18
45 35 5
9 56 24
42 8 9
13 40 17
38 25 -5
42 56 13
57 13 17
15 27 13
6 32 21
43 31 1
24 21 4
30 54 16
5 53 4
27 18 22
18 2 23
29 18 24
6 47 23
5 48 19
12 14 18
24 17 20
13 2 12
29 21 25
18 36 11
54 40 14
17 42 17
26 14 24
20 35 1
34 27 5
37 44 12
52 24 9
25 4 3
21 20 15
10 41 10
19 43 23
19 32 23
32 6 19
46 9 23
30 54 -3
27 2 4
48 49 -2
18 29 3
47 20 2
55 36 20
31 53 5
49 31 19
21 39 14
50 8 22
32 53 19
43 18 20
35 21 12
15 19 3
40 48 6
33 38 18
22 13 1
44 34 3
28 49 10
17 22 6
19 54 5
53 12 11
12 10 24
13 9 9
46 36 12
27 29 21
52 5 21
46 51 10
33 57 8
16 23 2
33 57 17
57 46 21
38 8 16
10 3 9
1 7 12
47 49 19
43 41 12
53 19 18
39 19 16
55 9 2
17 56 21
30 57 6
9 28 16
44 7 25
30 38 10
57 46 7
10 55 24
54 30 11
40 16 25
34 26 2
14 22 17
50 6 14
3 7 18
32 20 14
37 46 20
25 36 6
3 56 14
23 47 22
39 31 12
45 17 2
6 27 25
15 40 2
22 50 8
44 14 1
31 48 5
42 48 2
38 23 13
16 11 5
39 49 20
32 51 15
38 49 -2
48 29 5
24 12 19
43 39 5
51 2 20
46 1 12
7 39 19
39 23 21
12 35 20
28 43 14
5 35 19
55 15 25
14 56 9
5 34 23
5 57 6
47 10 9
21 30 20
42 12 -3
31 55 17
37 39 16
30 41 15
57 45 23
13 46 25
19 18 21
53 32 17
22 12 -1
28 17 20
42 8 13
17 55 5
19 33 24
47 3 1
7 19 12
8 52 5
33 25 18
15 32 10
15 17 21
31 20 17
40 30 16
40 19 25
38 14 7
40 31 17
15 24 11
29 49 6
55 7 25
13 8 11
11 55 15
30 47 25
24 18 1
54 29 18
56 26 22
33 48 5
57 26 18
19 48 12
56 30 19
56 19 19
31 10 3
55 18 20
57 30 24
50 39 9
53 35 17
38 17 21
10 26 16
38 54 24
57 14 11
15 23 9
53 40 15
38 44 7
34 19 18
47 9 15
4 2 1
44 36 8
39 52 14
32 53 23
46 3 15
14 28 20
33 5 7
47 39 6
7 41 21
22 40 13
29 14 25
16 1 10
55 14 22
21 48 13
32 11 16
48 38 5
48 53 3
24 45 4
46 37 21
18 37 5
53 51 6
27 14 18
47 51 2
56 26 25
56 38 8
51 46 19
33 12 18
37 29 3
8 28 14
31 46 5
57 2 -5
10 45 14
15 19 15
33 7 24
38 20 16
9 45 1
30 35 8
41 51 9
30 1 6
6 5 5
10 14 4
22 5 4
17 11 8
23 2 5
27 25 8
56 18 2
36 1 5
3 50 6
46 55 15
24 13 6
34 10 16
56 33 5
6 5 9
34 41 3
6 5 18
25 40 11
29 40 12
46 36 19
34 57 2
16 42 13
53 49 21
38 31 25
25 41 12
42 6 4
23 21 13
29 48 21
33 53 13
6 27 10
15 48 9
5 32 7
43 32 10
37 20 24
32 36 21
16 23 13
50 37 18
25 33 12
4 19 24
41 28 2
11 18 21
30 42 14
18 39 18
10 17 22
3 52 24
24 23 13
1 8 15
25 13 11
51 45 3
6 19 1
33 26 9
39 23 24
13 32 4
12 47 15
51 7 3
2 27 12
21 34 12
23 51 13
44 53 8
38 57 9
16 49 2
19 20 4
2 1 13
33 53 12
30 15 24
55 3 22
10 6 -1
