47 -494
1 27 1
27 4 14
22 42 24
21 27 4
42 8 25
34 29 9
18 35 1
43 36 20
10 20 4
2 15 1
26 43 5
44 41 3
20 10 11
45 32 15
32 36 15
5 4 3
29 1 24
21 7 12
23 12 2
25 1 4
35 46 19
19 8 2
20 36 23
7 27 15
12 31 20
13 8 5
28 6 8
13 27 18
19 21 20
22 26 24
4 7 21
45 20 14
16 11 6
46 11 13
13 46 18
8 45 18
13 15 21
20 17 5
15 43 130
1 21 23
14 17 10
17 13 1
8 15 22
3 25 13
34 35 6
47 14 3
10 1 17
39 45 10
23 30 23
26 43 4
25 20 17
23 31 24
35 26 13
19 7 9
28 5 6
43 35 13
25 16 1
37 7 10
45 35 24
33 32 9
35 29 23
19 21 19
15 39 1
4 14 23
21 33 23
38 40 21
8 40 10
10 1 3
45 38 16
29 19 21
7 14 16
13 45 25
6 44 14
30 21 1
39 37 9
11 42 19
46 11 21
5 18 11
4 10 12
46 25 23
36 24 24
24 45 7
19 21 5
21 18 20
42 45 8
8 25 25
6 17 19
26 43 3
26 24 80
24 29 22
1 9 7
26 7 22
47 1 4
21 29 16
10 23 30
16 5 23
10 41 11
43 18 17
14 31 15
20 12 5
3 5 16
10 18 9
22 40 15
18 29 4
47 9 21
44 16 18
4 47 15
34 20 7
3 43 20
46 26 50
36 9 -1
45 7 23
15 38 80
2 6 -1
19 47 7
8 44 1
16 12 7
36 43 23
35 5 19
7 44 10
30 35 6
27 3 19
5 6 12
33 20 6
7 6 11
16 24 17
23 26 1
8 47 11
22 24 16
25 4 3
5 28 18
11 4 4
1 43 22
14 30 13
40 33 17
12 45 1
1 4 12
9 29 23
16 42 7
14 23 10
10 45 16
16 8 23
45 11 15
44 12 2
29 25 8
42 17 16
5 6 7
17 22 20
17 14 16
19 31 8
23 15 5
39 1 17
14 27 12
20 8 2
31 37 15
5 40 5
10 6 2
47 35 14
1 37 22
24 28 10
38 8 12
26 22 18
4 40 10
35 24 40
33 27 8
41 28 14
26 7 20
4 12 24
41 32 2
37 17 12
15 37 11
14 18 20
15 3 18
6 5 2
38 16 15
34 41 14
3 4 13
14 11 17
20 8 24
10 14 10
25 9 16
40 24 25
17 29 23
9 43 15
26 3 9
40 28 4
17 41 6
30 31 3
12 6 4
9 32 14
44 3 1
44 37 12
43 25 4
3 31 17
17 22 19
4 24 2
39 23 22
25 6 6
30 38 1
46 47 7
46 36 7
17 7 12
31 30 11
34 7 -1
21 46 21
26 6 18
32 40 11
39 5 9
9 47 7
4 39 13
25 11 -1
2 23 30
37 46 20
15 2 16
25 24 23
40 32 5
8 1 15
14 26 23
2 46 1
8 7 22
10 43 18
1 4 1
27 20 24
44 29 17
21 45 15
10 36 3
22 28 2
45 44 1
29 35 20
9 1 17
14 33 21
47 38 9
41 5 6
38 14 22
15 21 24
2 12 16
44 18 16
31 25 3
21 8 25
16 7 16
27 28 14
33 14 23
25 28 24
21 12 13
2 30 6
11 44 11
44 21 17
18 24 7
2 30 24
42 5 8
16 10 17
1 18 16
42 25 4
13 24 15
29 35 24
39 26 22
47 40 23
42 39 6
9 24 13
20 6 20
37 15 13
31 22 11
2 34 17
45 28 2
3 33 11
10 1 2
29 31 4
37 8 19
6 27 6
19 3 15
16 10 12
35 23 5
46 9 2
42 27 9
5 45 18
35 37 25
12 38 25
24 39 8
6 14 17
3 21 14
20 28 12
2 3 24
15 36 17
23 46 20
47 41 18
5 8 1
4 23 13
40 26 19
14 10 14
47 39 21
12 13 9
42 30 9
10 27 18
12 27 20
19 18 16
23 35 1
44 47 19
13 26 23
1 2 3
29 38 6
38 18 13
12 32 9
10 1 1
23 27 11
5 19 5
23 46 24
29 19 10
46 15 8
32 35 24
26 4 24
36 13 8
17 6 9
32 39 3
22 40 23
31 9 12
9 22 20
42 46 12
40 38 24
27 4 10
5 37 4
5 45 17
12 30 11
6 41 15
6 25 7
3 21 13
32 31 4
23 4 17
21 9 22
7 27 7
17 24 17
46 4 7
18 41 22
5 7 8
13 41 21
11 5 9
45 30 14
6 29 18
40 38 10
24 21 25
13 46 1
38 33 1
4 41 11
30 10 21
5 18 13
23 34 13
30 47 15
31 47 2
47 35 9
10 34 6
4 28 22
15 30 7
3 5 14
32 4 17
14 2 5
16 43 1
12 26 22
40 27 5
27 25 23
27 34 19
43 27 1
19 40 16
22 2 13
39 32 13
25 34 1
8 47 5
38 16 19
20 39 15
22 28 25
45 30 22
36 21 6
13 45 8
21 44 11
19 36 14
10 30 3
1 31 10
28 15 16
44 5 2
21 40 4
39 17 10
44 38 8
17 45 25
37 17 20
32 8 5
1 43 20
40 25 2
19 12 25
6 40 4
9 37 25
11 16 3
15 7 23
38 9 11
9 2 4
45 19 8
11 30 5
36 8 22
5 22 5
25 33 9
27 2 2
44 35 2
24 40 14
29 45 2
23 33 6
2 20 20
43 45 18
34 11 8
13 9 3
2 5 13
12 45 3
37 21 3
46 14 18
34 22 22
22 20 11
3 46 18
39 4 25
5 33 9
13 17 3
44 34 19
17 33 23
30 4 16
36 12 23
13 28 21
7 16 25
12 18 8
45 25 18
40 13 18
11 3 5
12 22 5
6 38 24
20 31 5
38 8 5
19 16 12
13 24 10
20 45 7
25 21 15
23 10 22
26 6 21
44 34 5
39 28 14
27 5 21
20 46 17
37 36 9
2 13 16
10 41 2
34 2 16
7 9 17
3 34 7
28 44 18
25 9 18
35 1 18
6 19 23
28 45 10
19 26 20
28 14 22
29 13 13
34 40 20
31 41 5
13 5 9
3 31 10
10 21 1
31 22 19
45 47 14
3 22 19
31 34 11
35 31 8
25 17 17
40 5 9
21 35 8
44 33 3
42 5 20
36 23 9
17 21 16
6 31 20
23 10 12
12 17 1
30 12 5
5 39 1
14 25 24
28 25 23
22 31 10
38 4 6
35 38 25
11 22 13
6 34 21
11 2 7
24 4 22
2 1 4
32 13 22
23 25 5
2 30 4
44 40 19
19 45 24
40 5 4
40 24 17
32 47 11
