52 -318
52 19 24
18 27 25
10 32 100
40 8 23
50 48 13
13 50 16
20 48 11
1 25 3
49 14 15
33 18 4
15 48 3
20 52 17
34 6 -1
10 36 3
39 14 23
37 34 200
33 29 9
36 22 21
1 32 10
40 11 14
12 31 20
2 45 19
51 44 23
17 36 8
37 27 16
5 19 8
12 1 15
23 50 6
51 10 2
35 45 22
44 47 17
10 9 -1
37 38 3
43 4 21
50 48 12
14 48 25
14 9 6
51 47 20
3 25 13
29 42 1
45 5 24
30 51 11
13 12 6
48 43 7
3 6 50
13 37 17
39 18 10
30 21 15
6 41 13
11 43 16
13 30 13
5 27 2
43 19 10
12 1 14
29 42 14
4 7 2
51 17 1
46 38 21
36 32 14
4 21 130
52 10 4
32 30 23
49 29 2
37 18 20
40 45 24
10 45 13
7 11 9
41 25 5
47 36 17
40 27 3
52 44 19
16 5 5
23 18 16
10 33 25
13 52 18
26 31 15
35 41 5
50 12 70
13 2 17
40 37 15
41 22 13
9 41 25
21 28 10
27 45 3
12 11 8
11 43 10
20 28 3
33 23 7
28 30 11
28 42 22
48 23 9
48 23 18
3 16 110
38 42 24
37 14 12
8 29 3
23 21 21
4 40 20
37 24 25
34 27 5
8 43 14
29 34 9
20 5 15
1 19 19
42 10 18
33 20 15
12 10 25
16 46 23
1 35 180
3 1 18
20 8 25
7 21 8
21 32 16
33 15 12
38 42 19
11 30 16
45 22 11
27 6 1
28 29 24
49 20 19
32 22 13
51 26 250
27 48 21
37 51 24
19 35 14
27 44 5
15 33 14
18 17 24
49 19 4
33 31 6
29 48 1
37 17 12
35 50 16
50 11 4
12 2 200
5 50 23
31 26 10
18 32 8
25 37 17
27 13 4
22 28 21
22 5 19
28 14 11
6 31 23
20 37 50
4 39 9
44 37 21
14 45 230
26 33 9
48 2 15
40 5 25
17 33 -3
19 46 18
4 12 14
14 26 23
48 51 19
24 16 30
36 27 9
6 38 160
8 38 18
24 17 4
47 15 8
47 37 80
30 41 16
45 2 -5
41 49 13
15 10 6
26 47 23
33 21 17
22 12 8
51 44 17
28 48 17
6 34 23
28 21 9
14 18 23
35 19 4
43 20 10
8 27 4
32 36 4
41 4 18
41 26 24
44 9 20
40 12 22
6 30 11
44 10 21
23 50 22
44 32 17
42 31 60
43 27 12
17 43 22
6 15 9
50 21 20
16 40 21
43 9 8
40 16 5
52 19 -2
17 6 14
32 28 17
31 40 13
13 26 14
49 9 18
23 35 10
46 23 -1
34 9 5
2 37 12
19 33 10
19 44 19
12 1 12
9 1 6
29 1 16
8 2 17
39 26 16
22 52 24
8 37 20
13 7 23
45 4 11
10 8 8
31 23 22
19 29 16
21 10 5
15 5 1
33 36 8
6 2 1
23 31 12
19 28 20
40 7 13
26 38 16
49 2 14
6 20 8
5 52 10
15 46 24
8 29 24
27 34 1
25 15 6
27 7 1
23 7 9
35 32 2
33 47 8
26 12 13
12 4 2
11 30 10
40 48 14
44 12 14
29 14 20
12 30 50
21 37 8
32 30 15
27 6 22
11 1 6
26 30 11
39 12 25
11 15 16
13 14 6
36 1 10
10 49 2
25 44 23
28 19 8
7 17 22
17 34 1
23 48 9
14 19 15
46 14 9
22 36 19
45 38 7
32 34 3
10 26 -4
33 30 12
11 7 16
43 29 23
49 5 9
8 32 20
40 6 6
25 48 240
21 43 13
39 16 22
41 16 24
3 38 18
12 6 20
5 24 22
48 49 13
25 14 3
16 49 12
22 4 21
32 44 2
48 52 5
22 36 9
43 9 17
28 2 21
11 49 3
12 36 20
51 22 6
2 42 15
43 21 18
45 2 25
5 47 19
1 31 8
27 8 21
28 48 20
31 3 5
51 6 20
20 22 14
23 39 21
8 50 8
17 9 23
20 34 15
17 10 3
40 9 15
5 24 12
44 45 13
4 31 2
23 16 10
36 18 6
15 36 16
31 3 9
12 44 5
52 30 6
24 27 1
8 50 3
