60 -141
52 19 24
47 27 18
35 19 4
22 25 8
60 43 25
21 7 8
33 51 17
7 22 3
41 9 24
17 30 22
34 45 9
33 59 21
41 30 19
53 14 8
26 9 7
22 53 17
42 10 25
34 49 6
51 46 10
26 17 14
40 14 2
34 41 13
56 21 22
57 37 5
39 8 16
11 6 23
42 32 12
52 34 19
43 54 9
53 18 7
5 25 10
38 11 11
1 18 2
2 34 1
8 34 13
14 18 11
29 34 11
24 45 22
18 45 9
50 56 12
28 44 -1
56 20 16
14 6 21
23 56 1
54 17 10
33 2 2
10 29 4
39 27 9
28 5 2
59 14 12
1 10 14
10 57 23
1 12 20
15 7 2
55 21 13
50 49 20
48 45 5
6 4 17
25 3 17
27 53 8
38 28 6
1 6 16
31 37 8
9 46 9
7 52 2
57 28 4
1 11 23
41 4 22
57 33 21
51 9 4
1 4 20
17 16 20
27 30 20
11 41 18
5 17 1
10 1 3
24 9 19
49 50 20
1 5 15
15 52 13
42 9 2
14 38 18
1 5 24
16 13 21
45 57 14
43 41 3
3 34 7
17 33 20
42 41 18
1 8 4
36 2 19
27 10 10
8 2 10
50 45 22
58 54 4
56 5 22
1 7 23
52 32 16
45 51 9
8 32 10
23 6 13
45 26 19
47 60 18
38 25 9
20 42 24
53 11 25
53 32 2
10 21 10
1 39 3
39 42 1
24 10 15
16 28 14
39 55 13
6 47 17
57 10 25
22 5 -2
1 9 7
10 22 23
31 42 24
19 34 10
3 24 18
53 45 7
48 43 8
6 47 19
18 13 3
35 49 16
40 60 2
47 45 12
17 13 4
5 43 19
35 4 11
9 34 11
21 46 7
16 7 14
52 16 5
36 47 5
42 15 8
47 58 3
56 47 25
7 31 4
55 33 20
1 2 6
22 38 9
17 35 7
10 40 12
25 40 5
52 18 23
6 5 15
56 51 4
5 25 22
10 50 25
1 3 25
