49 -432
1 7 13
24 11 20
36 14 13
26 20 8
38 34 2
1 13 20
6 49 5
38 15 25
6 15 21
27 9 3
6 49 23
16 19 1
13 31 2
34 43 20
26 33 1
33 48 10
19 49 7
48 6 4
19 18 10
20 26 10
45 13 10
41 46 4
4 41 24
31 13 17
29 5 3
40 23 7
27 8 15
33 44 6
4 34 12
47 10 20
17 44 3
1 41 24
41 31 6
21 33 24
20 41 3
37 33 23
32 47 1
13 23 20
19 34 4
19 15 18
40 39 1
36 22 25
7 26 18
35 38 1
22 44 23
37 38 3
21 30 8
36 48 10
47 13 11
38 18 20
20 29 15
20 41 7
48 35 12
31 9 10
14 32 25
6 21 17
42 19 2
4 41 5
28 5 15
31 13 16
8 40 10
5 11 3
35 41 15
24 15 7
43 11 15
2 7 9
41 14 10
49 28 20
9 33 22
45 31 22
47 32 6
41 7 16
16 47 16
4 10 21
26 30 10
34 8 6
28 30 12
29 27 12
37 29 11
27 30 15
16 40 4
40 37 2
48 31 23
46 49 7
4 48 15
29 41 13
44 35 10
8 29 13
13 37 25
41 39 25
41 48 12
21 17 14
7 48 18
30 24 25
14 5 21
9 27 6
23 26 20
46 22 21
48 23 5
14 43 7
13 37 11
2 40 23
42 49 9
40 7 10
4 41 8
26 42 20
1 46 14
17 49 11
24 6 14
31 24 15
25 8 5
31 30 13
48 4 23
31 30 22
4 37 15
2 40 9
25 30 1
46 13 16
7 48 8
23 18 11
1 23 7
20 42 9
2 44 2
7 29 3
5 29 10
17 26 13
40 14 22
6 20 9
26 37 21
10 7 17
30 31 13
46 32 15
30 12 18
28 7 18
47 8 6
47 31 8
3 12 4
41 21 6
37 6 16
38 30 22
20 11 16
24 17 1
39 43 10
44 23 7
8 17 10
21 35 25
34 15 12
30 12 4
5 47 22
27 24 23
31 41 17
28 7 13
43 3 18
32 29 20
49 20 14
35 9 15
26 21 22
13 21 2
32 44 18
5 48 4
23 48 24
3 4 22
49 12 9
31 18 24
44 19 13
8 30 24
21 43 15
7 21 16
33 46 8
23 29 10
1 30 5
12 48 1
8 23 12
23 44 17
29 47 13
9 16 24
32 29 6
36 18 18
1 22 24
10 2 22
30 15 18
6 30 8
28 44 11
37 23 4
46 9 8
31 7 9
38 42 22
7 20 24
3 30 2
48 37 18
48 26 8
44 26 16
25 16 19
15 37 10
6 26 15
6 15 15
42 20 11
49 23 9
46 35 10
46 35 19
44 40 17
46 16 24
13 31 14
25 40 12
37 20 12
33 15 1
10 28 11
2 19 1
32 39 23
3 7 11
36 15 21
25 13 8
14 3 25
42 12 11
47 41 19
38 27 15
5 11 25
33 18 20
11 6 12
48 13 23
22 30 15
1 48 7
36 14 15
48 47 21
37 49 6
18 42 15
6 3 22
17 43 18
28 9 21
26 48 10
16 26 15
21 19 20
48 40 18
49 22 21
36 29 17
9 20 2
12 16 1
18 15 11
20 25 20
28 16 19
24 8 12
35 37 25
46 12 3
25 5 3
45 47 19
30 26 7
5 19 10
44 40 20
48 13 4
36 21 8
34 4 25
18 46 12
45 39 20
17 6 14
6 44 17
11 9 16
41 7 1
3 40 22
49 29 5
26 42 15
5 15 8
24 34 19
43 5 6
40 12 3
21 33 12
27 42 1
47 33 9
22 26 3
13 33 22
34 1 15
49 14 16
19 3 14
28 35 4
7 33 18
31 9 12
29 34 13
4 41 25
32 31 -1
46 31 6
12 31 3
7 15 5
29 27 10
34 31 15
47 44 14
28 30 19
30 47 11
24 34 23
18 34 1
14 9 21
28 32 3
10 45 20
32 27 24
39 6 6
36 44 9
35 45 14
3 9 7
32 49 11
41 48 10
19 40 3
2 41 18
9 15 21
8 3 13
44 46 22
11 35 18
13 29 24
29 39 -1
11 13 8
28 39 19
1 5 3
16 9 18
6 9 17
35 25 13
17 31 19
4 10 9
6 25 6
21 37 22
17 4 20
25 23 10
42 41 8
35 21 11
46 37 12
26 46 6
47 46 22
1 16 7
7 2 16
34 4 5
22 20 21
40 48 14
10 3 13
18 25 18
19 47 5
32 15 18
16 35 7
37 26 2
25 30 8
27 34 14
12 11 1
23 37 18
24 44 16
13 29 5
25 34 5
28 42 6
38 16 14
37 29 3
1 23 14
18 14 8
7 29 1
36 28 4
35 32 15
3 24 8
42 26 5
9 49 8
20 1 20
25 21 16
37 32 22
46 13 9
33 8 7
33 31 9
14 4 21
7 17 13
40 41 5
25 15 5
48 45 12
19 47 4
20 45 21
41 5 1
39 28 19
23 14 6
38 4 21
30 1 1
30 43 16
42 33 11
13 6 20
13 21 18
33 45 14
40 6 1
17 34 23
33 37 19
19 35 11
5 10 12
44 19 11
38 42 12
22 36 23
1 16 1
8 20 5
23 29 8
42 6 13
18 9 13
38 35 4
37 16 13
15 21 23
5 16 18
16 15 10
5 36 5
12 21 8
37 9 19
2 24 16
36 49 12
39 23 11
6 38 19
18 32 19
10 6 8
45 17 23
9 2 -2
21 16 9
38 23 16
19 13 1
41 49 25
44 6 18
27 16 16
21 8 10
33 11 15
42 21 14
49 45 22
6 11 15
40 47 24
31 30 4
21 15 17
16 3 8
30 42 9
45 2 20
37 46 13
12 17 19
34 9 18
19 11 17
28 40 20
16 27 1
12 32 13
39 23 19
40 16 4
37 12 1
10 5 2
