50 -468
7 35 10
29 1 11
15 33 1
10 40 5
1 7 22
5 24 7
50 36 21
11 10 25
24 39 20
35 18 23
32 44 5
6 34 25
1 26 4
6 19 9
28 2 6
14 10 8
20 2 7
20 37 1
50 28 12
50 17 12
25 16 11
4 11 10
39 11 17
30 3 22
6 26 7
45 28 4
13 30 23
24 14 25
41 33 25
4 46 4
37 11 8
47 6 4
41 45 8
1 36 12
45 8 21
37 26 11
1 48 4
40 19 23
15 21 7
36 22 25
12 17 4
41 27 13
38 45 10
30 22 21
12 20 15
11 23 24
41 19 18
28 21 1
6 37 11
19 29 19
42 35 5
20 29 15
18 4 3
11 32 20
5 42 14
24 38 23
11 6 4
30 32 25
11 9 9
17 9 12
45 20 18
9 1 4
31 32 2
48 39 9
38 3 18
31 43 8
40 8 8
23 4 24
2 34 9
2 14 3
46 45 15
10 1 3
37 22 4
35 41 24
41 3 1
48 2 1
42 7 14
17 27 25
24 15 25
24 48 22
36 13 10
39 7 -4
15 20 11
39 7 5
46 19 16
36 25 11
34 30 16
1 10 4
29 37 20
40 31 5
45 4 -5
12 8 3
28 30 12
38 48 2
22 3 8
46 14 22
10 45 4
5 44 13
34 46 1
33 9 20
36 35 20
46 11 7
15 12 11
1 20 25
31 8 22
32 11 5
26 18 22
13 26 15
4 18 20
14 16 12
3 2 6
41 29 25
28 39 12
41 21 21
7 18 22
2 28 22
25 19 10
31 5 25
48 34 23
12 49 8
50 24 17
33 27 14
31 42 19
33 42 21
33 8 19
17 23 17
19 9 21
35 21 4
37 6 17
50 39 10
19 2 9
28 4 4
39 14 2
35 44 14
3 13 24
4 9 24
31 42 23
26 7 21
37 25 17
34 19 19
44 38 1
43 26 2
34 31 2
7 36 24
50 27 22
33 4 16
18 47 7
38 6 8
2 25 16
50 12 6
38 42 10
32 26 6
22 48 18
29 25 8
26 49 4
19 5 14
12 40 16
42 18 17
37 17 8
30 35 10
19 9 2
38 16 2
20 7 19
14 5 6
1 43 8
46 22 6
19 12 13
40 33 12
12 45 5
25 48 13
25 37 22
9 29 9
19 16 10
3 5 10
40 48 24
27 25 10
43 44 23
39 47 16
3 30 21
11 8 1
17 10 23
16 4 11
2 23 13
9 24 24
16 15 17
10 21 4
41 50 10
45 34 7
4 5 12
19 31 21
50 11 13
39 2 -5
39 15 14
27 21 8
9 21 9
39 43 23
47 4 21
27 41 4
21 1 18
24 48 1
36 31 25
32 18 10
12 40 15
14 34 5
18 2 3
17 22 10
26 21 8
1 41 19
15 37 24
48 11 6
27 21 3
32 25 8
30 8 6
38 31 4
10 39 7
12 13 20
30 11 20
37 24 5
22 11 21
47 38 5
26 39 24
49 31 4
8 49 19
23 36 22
27 36 23
18 12 11
19 20 11
41 23 1
38 11 3
46 5 24
31 45 22
36 50 1
11 36 21
17 6 11
32 28 14
30 19 19
30 11 15
10 17 1
34 48 21
27 47 19
29 5 6
41 11 13
19 39 1
35 42 6
42 20 15
41 50 13
26 21 25
43 48 10
21 23 13
2 26 17
27 31 25
5 43 -4
42 47 14
45 9 11
5 4 -5
44 25 5
26 17 5
2 41 20
50 36 23
26 39 23
31 13 24
1 2 13
17 47 6
40 1 22
11 36 2
50 25 13
19 25 15
28 35 14
20 2 18
2 27 13
29 12 17
34 5 22
48 8 25
20 37 3
37 38 1
23 24 15
43 4 10
23 16 11
40 31 22
40 43 5
8 49 13
47 2 18
43 5 20
46 16 9
30 18 12
44 40 20
45 50 2
38 10 19
49 26 4
32 39 8
30 21 13
21 26 13
7 45 15
26 17 4
29 46 1
27 49 4
29 49 6
9 46 18
12 42 17
29 27 24
42 35 7
30 26 2
36 40 17
29 39 16
7 19 7
13 44 22
32 46 15
2 15 11
10 45 25
3 48 4
21 14 16
33 25 22
23 8 15
18 19 17
35 14 13
35 26 24
33 43 21
32 50 17
36 39 20
7 38 7
31 23 22
30 6 10
25 26 25
42 22 23
15 47 7
15 28 12
25 19 4
40 26 9
18 26 24
42 3 18
33 36 17
32 24 9
6 21 14
48 27 23
31 27 24
6 22 6
48 50 3
22 10 22
17 43 7
33 1 19
50 42 19
24 3 3
38 17 16
40 34 8
25 27 12
40 37 4
25 8 17
27 44 18
29 14 16
24 21 20
26 49 21
22 10 8
12 31 2
38 5 10
43 26 14
34 42 14
4 47 22
50 42 23
40 14 7
43 49 25
19 10 2
48 11 24
30 5 13
49 43 19
8 48 15
25 33 14
48 24 8
28 3 24
39 36 24
36 1 24
6 35 15
18 10 2
32 11 11
44 46 21
48 50 20
7 17 18
40 41 10
6 47 25
27 21 16
34 14 23
5 13 18
14 42 21
34 26 6
21 44 15
10 7 15
49 5 14
10 19 -2
20 49 14
19 17 4
50 42 13
13 9 12
12 22 1
24 16 25
41 2 9
19 24 12
33 30 12
18 36 17
46 40 12
30 31 24
50 26 9
33 27 24
7 24 20
21 39 7
47 8 17
48 42 6
33 12 8
22 27 9
4 13 14
50 11 2
19 31 19
1 12 22
1 34 19
18 47 13
47 4 1
25 40 20
39 46 8
19 43 20
21 16 5
47 18 21
50 37 14
23 10 13
7 14 2
1 7 19
39 28 14
37 9 10
3 20 5
21 23 3
13 31 17
7 40 4
22 5 3
43 17 21
22 20 19
1 27 11
50 34 22
3 27 13
3 27 22
36 1 4
19 18 25
44 26 14
18 31 23
7 44 -3
4 35 4
49 8 18
31 34 20
1 37 5
47 34 1
43 1 8
44 2 25
35 12 13
44 22 12
18 38 21
36 41 17
39 41 23
5 47 5
47 38 16
18 31 18
37 16 21
14 37 7
30 3 23
25 5 2
23 28 11
40 1 7
1 33 21
46 24 12
22 49 18
6 38 18
42 36 12
3 37 20
