60 -233
1 47 4
8 17 9
52 60 25
1 24 11
5 3 12
42 1 11
19 46 6
59 5 10
1 43 18
1 34 15
29 15 9
8 3 22
15 29 6
14 52 21
41 8 10
15 49 9
58 17 5
22 13 18
52 10 5
7 49 20
1 42 19
28 23 8
29 18 8
14 25 3
1 48 25
18 42 15
26 58 3
41 30 12
60 34 24
19 12 25
10 58 12
23 50 20
40 29 2
1 8 10
1 41 22
1 19 19
4 9 8
1 39 13
52 17 3
4 32 12
30 9 5
24 31 2
1 45 10
53 32 24
24 40 14
37 32 22
1 3 13
31 4 23
25 39 6
19 57 4
21 37 3
36 50 12
15 4 8
9 21 10
49 2 18
52 24 2
5 12 21
5 27 3
19 1 17
32 14 23
1 14 25
32 43 22
1 25 25
4 23 11
18 36 15
21 39 12
1 32 3
31 59 7
1 37 8
37 18 7
43 35 25
36 26 2
1 2 17
38 37 4
36 35 14
1 50 11
13 41 10
27 10 11
16 25 14
30 38 18
49 48 8
59 34 18
3 22 15
2 60 12
24 8 14
1 5 6
26 46 8
12 38 18
37 28 17
14 23 12
60 46 20
18 53 24
1 16 15
39 7 24
60 15 23
6 36 13
1 29 9
5 8 19
1 30 8
1 52 11
56 35 9
1 12 11
3 35 15
11 59 17
59 30 11
41 21 6
13 41 3
45 7 22
48 49 18
56 59 21
1 33 6
40 15 18
57 34 18
26 9 15
58 50 19
6 35 23
56 31 23
39 18 8
1 6 7
37 36 23
15 23 19
38 5 4
1 47 17
37 11 12
46 2 21
1 40 11
46 31 2
24 15 12
1 10 7
1 35 6
41 27 6
35 49 12
6 43 2
1 4 9
1 23 22
1 26 23
26 18 11
1 22 8
32 25 20
38 39 11
39 37 5
20 31 5
33 11 18
29 1 14
60 37 3
28 22 4
1 51 23
2 42 11
1 38 7
1 55 23
43 10 23
1 13 5
1 53 16
49 52 9
59 44 23
35 24 24
13 8 4
33 19 15
37 34 3
52 43 5
8 12 18
16 45 23
53 39 13
32 35 8
26 12 12
4 18 14
29 22 2
49 20 16
25 27 15
56 52 4
53 5 20
48 12 15
52 16 24
5 52 13
14 10 2
33 53 22
1 30 23
38 30 10
29 32 15
18 41 13
44 53 20
43 45 1
52 32 14
3 36 13
1 31 6
43 5 1
6 4 5
28 18 17
22 5 21
29 50 2
28 40 14
32 54 14
15 11 -4
52 8 25
3 52 3
22 42 16
42 26 2
3 13 14
26 3 11
54 18 7
47 7 25
49 6 19
13 6 17
7 28 23
3 53 4
11 37 16
29 32 8
25 49 23
41 23 15
36 29 20
22 18 21
12 59 21
37 16 17
4 34 6
10 53 9
45 57 25
56 4 20
1 46 15
1 28 18
16 8 8
58 23 10
38 3 6
23 56 23
21 56 22
1 27 13
1 21 6
49 36 1
30 26 11
1 15 20
1 49 22
8 51 7
6 36 17
25 29 10
34 51 22
4 6 19
28 44 22
59 35 2
18 13 19
8 57 5
40 24 22
46 39 5
21 38 25
37 43 21
33 50 12
48 22 4
17 54 19
1 18 19
60 7 25
7 36 13
7 1 13
21 17 5
1 28 11
32 48 8
48 60 15
27 52 13
1 7 18
26 30 5
19 47 1
26 50 20
59 2 16
6 27 16
21 4 14
1 36 17
6 29 22
13 51 1
1 17 13
48 13 19
46 51 9
49 59 13
1 11 15
26 23 2
1 20 18
57 41 8
38 23 13
1 44 21
1 24 18
5 6 15
48 43 10
1 54 16
5 46 11
29 7 3
53 37 23
45 17 13
1 9 2
47 29 18
44 39 14
31 10 14
