51 -451
13 24 4
14 33 5
14 6 6
33 29 23
48 28 24
22 31 14
32 17 24
21 27 13
21 19 18
46 12 24
8 49 7
17 25 4
40 35 13
15 5 14
19 22 8
47 25 22
47 26 4
36 10 20
15 51 17
5 20 14
32 5 18
41 15 8
17 21 24
18 19 16
16 41 24
13 38 10
6 33 19
29 47 9
17 43 20
20 17 19
3 2 17
10 31 18
27 38 16
32 31 21
22 4 19
25 13 5
44 28 17
8 7 5
15 47 6
43 20 16
31 24 22
11 5 17
37 8 21
19 45 5
44 2 1
1 3 6
48 43 12
29 43 7
19 7 14
45 24 11
24 23 2
9 16 6
19 41 3
25 46 6
11 24 7
8 7 9
20 29 24
49 22 18
33 16 24
46 30 13
43 50 11
8 44 3
4 7 25
21 3 23
41 14 24
23 20 15
17 23 23
50 47 15
23 16 8
20 28 9
16 24 19
46 23 9
30 3 12
1 44 10
3 14 8
9 50 8
33 16 19
24 30 14
31 17 18
35 45 3
20 43 11
35 34 12
1 9 12
12 46 21
44 24 23
42 8 14
40 11 8
34 20 8
13 29 22
46 45 19
50 39 2
26 31 2
14 28 18
11 5 11
50 4 17
12 37 11
25 50 2
17 39 3
33 39 21
46 41 8
29 45 19
47 9 8
13 26 15
26 38 9
48 50 14
11 43 15
18 33 6
45 26 23
41 29 16
8 5 24
46 7 5
51 50 15
15 20 10
35 3 14
23 37 7
22 44 12
27 3 15
21 6 9
7 15 3
31 4 1
33 1 25
1 35 23
49 24 17
10 6 21
42 34 16
25 49 15
11 38 16
34 15 4
30 17 16
2 48 13
38 51 11
10 18 22
16 43 13
33 27 9
33 8 5
4 21 25
8 35 10
35 17 2
40 44 9
40 44 18
18 2 9
27 15 2
8 36 11
28 42 8
45 49 6
8 28 16
43 37 20
2 25 16
37 41 -3
42 45 2
5 13 11
9 30 -1
4 48 1
13 14 8
12 7 19
17 11 24
45 33 2
12 29 6
42 21 13
16 13 3
36 39 2
12 29 24
6 36 13
19 31 8
5 9 18
45 7 4
49 12 23
15 38 7
2 9 12
11 30 2
13 43 12
15 19 12
22 51 9
4 21 6
27 25 19
31 42 4
48 18 14
50 49 22
36 24 8
33 23 1
21 31 14
51 45 24
16 19 14
14 11 17
24 36 9
18 47 15
23 9 14
27 21 17
30 19 11
13 24 3
42 5 23
5 35 16
41 4 15
35 4 21
31 7 14
11 30 15
40 28 4
48 18 9
1 19 13
31 10 24
27 9 2
32 29 24
29 9 4
1 23 1
23 28 23
29 17 17
6 38 21
41 43 2
51 48 24
8 27 23
17 48 13
37 23 13
18 46 23
12 47 22
8 20 2
4 8 17
24 39 5
44 34 11
35 49 23
17 22 -4
24 4 11
30 1 2
50 48 25
45 6 15
3 12 1
48 41 11
30 15 22
45 51 4
36 30 23
46 28 2
42 16 4
2 27 5
19 49 1
32 51 24
27 5 13
12 29 4
16 26 20
33 22 18
21 8 25
21 23 4
6 19 7
7 42 24
31 28 22
37 1 21
44 6 1
24 42 19
16 14 5
19 7 17
27 5 8
13 50 9
37 38 24
30 49 14
7 8 8
10 4 7
34 13 8
48 24 15
46 27 10
12 16 10
39 41 6
30 44 20
18 39 5
43 46 7
25 32 21
6 14 17
3 2 10
25 16 13
7 30 4
19 11 9
4 26 1
29 30 16
3 41 19
43 8 16
48 44 1
1 3 8
46 15 22
18 46 12
9 42 12
41 18 10
47 32 9
12 19 16
37 15 3
45 16 18
23 49 12
2 22 14
37 18 23
36 48 21
12 24 14
21 11 2
37 22 11
30 29 13
38 21 14
31 9 12
28 46 19
33 10 6
2 10 8
17 12 25
29 46 23
27 7 11
50 21 1
3 33 5
31 16 1
35 21 21
31 35 14
15 5 10
17 42 16
46 18 17
18 48 21
28 1 6
8 21 7
48 27 23
9 42 11
1 13 2
38 44 25
4 22 25
10 42 14
38 48 4
34 23 15
42 33 18
19 21 16
36 9 10
40 45 8
41 2 24
1 16 12
20 31 16
20 12 12
10 7 25
21 5 24
25 30 22
30 2 12
42 18 16
50 28 3
38 47 3
31 43 18
16 24 20
38 24 23
18 22 8
23 26 22
46 14 10
44 42 19
14 42 8
34 1 9
15 50 8
51 28 2
33 27 7
8 2 11
39 20 16
33 31 23
15 4 13
21 29 4
39 9 15
21 6 20
42 10 25
43 15 9
36 5 21
37 6 1
45 7 7
17 49 4
6 20 16
45 19 17
1 38 17
26 15 18
25 3 4
30 43 12
34 30 21
5 51 13
15 26 13
14 7 22
35 13 6
12 3 6
24 36 12
3 24 3
25 49 12
20 4 20
24 40 18
21 36 15
36 1 5
26 34 8
6 24 5
35 5 25
8 32 11
20 46 13
50 26 18
40 10 4
31 41 24
40 10 13
1 8 25
47 31 19
50 8 6
19 42 10
31 34 21
9 37 6
14 7 17
11 3 14
41 43 5
32 6 7
12 22 23
37 31 20
47 4 19
22 20 24
8 50 18
19 16 21
37 12 25
44 45 5
20 26 21
21 5 13
47 19 22
26 40 10
5 17 10
34 2 25
12 22 9
34 22 12
8 38 21
12 36 20
27 13 24
19 4 14
8 39 22
32 18 3
1 30 7
2 51 2
23 43 14
24 31 8
27 16 25
31 33 10
16 26 23
28 6 14
39 50 14
32 2 9
19 31 9
40 20 25
11 34 1
49 41 15
31 37 7
50 41 11
19 12 14
2 18 25
18 46 25
44 25 17
19 46 2
12 25 23
49 11 19
16 45 22
3 11 8
28 48 15
18 12 13
9 17 13
1 14 17
41 50 20
45 28 23
8 11 3
23 9 6
48 25 23
