56 -167
40 6 21
26 18 17
49 35 24
44 42 19
1 8 24
32 48 12
19 56 17
5 2 13
8 21 6
35 38 20
51 53 13
41 27 23
26 51 4
15 7 12
54 19 10
32 21 3
45 33 14
28 40 15
24 51 13
39 4 16
49 26 23
48 7 22
42 1 13
41 3 4
24 39 4
31 21 10
55 40 2
25 26 10
29 16 10
19 28 12
50 46 9
52 3 23
55 4 18
40 45 7
51 32 22
24 12 -1
39 1 22
40 22 8
30 53 23
14 30 13
21 30 4
21 13 18
10 40 21
49 24 3
46 27 1
49 24 12
9 43 13
48 29 20
15 47 6
8 6 15
33 29 2
25 14 13
17 27 5
15 47 24
44 40 18
2 51 1
40 8 11
22 21 19
9 14 16
45 7 20
44 48 16
30 34 2
54 52 13
8 24 23
4 15 9
11 54 12
46 29 21
24 18 15
15 49 17
38 29 23
33 28 14
42 55 20
15 17 21
48 51 15
1 25 2
48 39 7
13 26 14
45 41 20
11 54 23
52 1 19
1 23 22
2 3 1
49 10 19
28 16 16
32 5 17
16 49 10
47 13 22
3 28 23
47 48 19
1 47 19
53 32 14
36 25 16
1 12 6
8 28 15
50 35 7
18 49 3
36 50 2
45 22 8
27 40 21
23 7 17
28 7 15
12 55 22
39 12 17
53 47 17
22 35 8
30 54 5
38 10 16
3 8 6
25 44 6
50 54 7
21 35 13
54 27 22
3 25 10
40 36 1
39 46 21
46 55 12
54 18 7
19 37 2
44 2 2
13 20 10
43 49 10
9 38 2
8 54 10
44 34 18
18 13 17
21 8 19
11 32 19
25 9 20
20 7 11
39 46 23
18 34 12
46 41 24
14 13 14
51 54 24
53 31 24
10 51 17
11 52 -6
35 29 20
30 47 24
23 37 12
45 41 12
10 11 11
54 25 17
35 50 24
38 36 14
42 23 -2
51 28 7
32 8 8
8 55 25
49 13 19
56 52 22
18 14 2
50 45 10
49 18 6
22 53 13
37 36 20
1 25 17
46 1 19
17 1 5
33 3 11
13 20 16
56 15 5
26 13 9
35 21 11
32 56 14
29 48 4
8 20 -3
