59 -206
37 30 25
26 49 23
53 58 18
30 34 3
43 56 12
56 37 8
56 45 21
11 45 2
15 41 5
43 2 4
51 12 6
22 57 15
14 35 5
51 57 1
20 8 12
17 31 14
45 38 10
37 50 14
47 22 17
48 5 24
14 34 8
40 16 8
12 47 5
17 34 24
43 11 2
23 14 18
50 47 7
13 20 4
54 35 20
19 20 13
21 20 15
10 18 15
10 4 25
30 29 23
22 4 19
2 27 13
44 31 16
35 28 4
8 18 5
15 39 2
22 53 21
27 4 20
21 15 18
28 36 15
41 17 25
58 21 6
50 42 4
12 58 12
6 14 17
1 2 8
43 4 19
44 54 20
22 19 3
2 22 19
34 19 14
27 6 10
15 5 11
24 41 20
39 9 21
16 46 18
41 27 4
47 14 19
22 15 17
37 13 13
59 48 16
43 33 2
10 23 9
42 8 24
58 54 23
28 10 19
35 53 19
48 21 11
37 26 13
17 19 5
24 48 6
39 12 9
55 52 21
41 31 13
57 38 6
29 46 1
31 45 12
22 27 18
27 19 15
48 20 21
40 23 13
2 53 11
13 47 9
27 8 12
13 37 8
6 38 24
43 49 22
5 39 18
5 13 8
11 50 19
2 9 5
9 56 13
6 50 16
11 33 21
48 56 16
26 30 3
5 11 1
19 50 25
19 3 5
17 34 7
55 58 18
59 6 14
36 11 20
41 43 7
54 3 17
7 12 4
20 57 17
42 37 18
28 53 12
24 11 7
42 12 7
57 46 21
25 49 9
8 40 10
41 31 8
19 12 1
17 32 3
47 38 1
47 55 17
3 13 21
32 40 7
14 29 15
36 21 5
42 9 20
53 9 8
58 13 13
59 53 12
54 32 9
39 2 18
18 20 11
47 55 1
12 28 25
5 1 25
4 8 15
52 57 18
40 18 5
4 15 8
29 19 14
20 14 14
51 42 2
19 14 18
28 35 8
46 13 12
19 36 15
47 57 1
26 13 12
29 47 24
48 2 15
34 16 7
43 9 19
6 10 23
31 24 7
24 55 2
18 54 6
58 24 8
49 14 4
4 17 20
18 26 17
55 24 13
2 57 17
11 12 16
8 41 15
49 11 17
55 20 3
11 33 11
37 21 18
49 15 8
2 1 2
32 44 17
15 4 16
59 24 -1
11 38 19
31 34 13
18 4 16
39 23 17
17 15 2
50 41 13
2 6 1
52 18 21
49 2 7
16 52 21
40 53 5
19 21 18
2 34 20
36 20 12
19 48 11
47 1 3
52 43 25
33 45 8
1 34 4
25 43 13
56 48 8
44 12 12
1 23 19
3 58 9
40 58 19
44 21 24
20 22 18
20 47 17
34 56 16
59 21 16
43 36 9
