46 -410
40 16 22
34 36 22
20 45 19
43 24 10
9 24 2
23 32 22
17 2 15
16 34 8
21 41 24
13 12 7
35 12 3
42 13 14
29 43 3
19 37 24
11 17 14
41 15 17
9 42 24
42 9 7
30 25 23
36 34 4
2 45 1
34 39 18
12 31 11
28 29 1
2 34 10
40 20 1
38 37 20
34 24 2
34 32 15
27 42 13
41 45 17
21 14 10
39 14 18
28 24 16
2 19 2
29 1 19
28 17 4
44 24 15
28 36 17
41 18 17
5 3 23
2 22 3
28 21 1
7 30 15
37 27 2
12 43 7
15 28 6
16 17 21
30 18 14
11 5 21
36 21 1
41 3 6
41 25 6
16 2 5
35 37 5
1 17 12
43 23 21
30 33 8
3 9 19
34 27 25
23 12 1
5 6 23
17 16 11
24 14 6
17 44 2
11 32 6
26 1 3
46 22 22
21 11 4
33 25 6
1 5 24
20 10 5
35 25 25
42 46 14
17 9 7
6 44 23
38 33 8
24 44 6
8 22 24
34 8 24
26 31 2
39 21 24
5 29 25
11 16 11
32 46 12
24 38 4
10 45 13
42 26 22
33 36 10
1 36 6
19 13 15
29 12 4
40 19 8
37 3 3
45 16 1
19 17 21
29 18 20
10 31 7
35 7 7
36 16 24
34 23 8
23 38 3
38 40 20
3 32 24
21 22 3
27 22 2
29 41 17
21 36 5
16 20 7
4 40 16
22 21 20
21 5 17
3 9 13
42 30 14
4 10 2
28 18 19
40 32 21
19 21 4
30 5 6
43 19 4
39 43 20
12 34 5
25 41 2
12 37 1
2 40 9
45 42 -1
29 44 17
10 30 5
13 28 15
19 40 4
13 7 1
32 11 13
15 4 15
29 26 14
24 2 3
37 9 9
21 43 -2
24 36 10
25 18 4
32 34 19
32 15 15
37 2 14
20 34 19
22 9 8
21 13 11
30 23 9
39 8 20
41 20 24
22 10 9
14 38 12
4 32 25
33 45 12
21 31 19
17 34 12
31 37 15
10 41 23
42 14 19
25 40 18
12 14 17
3 13 5
21 35 25
20 45 14
32 40 21
7 13 13
7 25 14
29 17 13
17 15 12
29 40 5
18 13 13
45 17 21
39 35 10
34 25 24
23 9 23
29 2 15
18 40 3
9 35 20
42 28 6
1 15 25
23 33 7
27 5 14
36 12 20
39 30 25
17 37 17
20 27 5
41 12 6
9 17 25
41 12 24
29 21 5
34 3 10
10 6 10
12 36 13
38 42 13
28 22 19
19 15 22
13 25 8
46 31 13
38 4 13
38 15 10
23 36 22
12 10 14
19 20 11
35 11 14
20 8 5
26 44 4
2 15 13
6 38 25
6 11 17
3 18 14
21 16 6
40 28 3
29 24 1
36 14 20
15 22 -2
5 46 20
21 8 16
43 36 9
39 42 16
24 16 7
46 5 10
32 2 24
31 3 2
38 11 16
18 46 13
33 15 5
35 4 15
20 25 25
16 3 14
14 25 21
45 16 19
12 42 18
32 35 7
3 45 3
34 1 25
32 36 8
5 23 3
28 35 23
10 16 17
8 44 24
1 40 7
19 46 3
11 10 13
32 17 12
8 37 12
35 38 8
34 9 10
9 38 1
43 39 4
35 42 5
32 43 24
2 18 3
41 22 8
21 14 3
31 28 3
21 14 21
28 43 22
19 26 2
22 19 14
38 33 20
6 14 3
46 12 7
13 27 6
10 31 24
12 8 24
24 22 17
14 40 23
25 8 18
40 18 19
35 10 25
30 32 18
21 3 16
9 30 24
43 31 9
21 36 22
10 11 5
41 18 14
13 18 5
10 31 1
4 2 24
41 29 10
2 22 18
21 33 7
11 24 4
31 35 14
13 11 20
30 5 23
39 3 1
40 18 5
27 19 21
30 17 15
33 36 8
32 45 23
36 2 12
23 37 10
23 22 21
9 23 16
9 15 21
9 3 19
12 20 -1
10 42 14
17 1 19
10 41 18
36 17 14
39 13 13
13 10 10
18 37 1
41 22 11
12 15 4
5 22 15
8 41 8
29 22 11
3 36 10
32 18 19
39 36 20
17 39 5
30 39 25
6 22 1
7 3 3
14 36 2
1 42 24
29 26 17
13 11 1
37 6 15
41 2 19
13 10 14
37 14 1
42 7 6
40 18 13
36 32 6
9 33 14
17 23 1
34 27 21
24 44 7
35 36 13
20 38 19
33 20 4
11 12 6
44 38 17
14 27 15
12 41 1
28 8 22
39 21 7
7 40 10
39 10 16
15 7 14
18 36 4
45 41 14
16 20 13
29 6 11
41 28 17
36 1 19
13 17 8
45 14 5
17 4 10
21 6 6
3 31 25
14 46 14
33 12 13
23 7 8
25 7 10
38 25 5
46 36 15
24 40 18
46 13 13
14 12 20
35 36 21
34 11 12
8 36 8
15 7 4
35 43 11
26 25 17
16 39 8
1 16 1
14 31 11
22 20 24
36 23 19
3 19 5
15 10 14
38 35 4
30 23 24
8 4 5
43 6 16
34 21 11
20 27 12
3 45 16
37 43 8
13 32 9
17 41 8
38 20 10
26 6 25
31 19 8
40 29 7
19 11 22
35 42 9
18 43 24
2 35 11
7 39 13
3 34 20
30 46 25
6 31 11
2 42 19
34 2 3
41 31 7
30 34 19
5 27 22
6 27 9
15 39 21
3 45 6
4 38 10
6 11 19
37 1 10
