41 -344
32 24 18
16 2 20
18 38 25
31 40 21
15 2 13
1 21 15
14 15 11
3 41 4
17 3 7
38 37 25
1 33 16
35 8 6
13 20 11
21 4 11
25 17 7
32 36 -3
26 35 10
40 16 17
11 9 10
11 37 10
34 9 8
27 16 10
39 11 8
41 30 23
28 2 1
19 14 17
40 19 5
30 33 4
40 31 15
32 31 16
32 23 12
38 7 2
18 12 7
21 22 9
30 29 20
24 30 19
41 6 11
3 36 9
28 1 9
32 5 17
9 34 10
33 40 8
6 22 9
28 5 15
18 11 10
17 35 15
15 16 18
5 7 24
28 20 9
39 13 16
10 12 3
24 15 7
14 21 2
20 2 1
28 35 15
37 26 1
4 18 16
16 36 7
1 21 13
35 30 5
41 9 25
5 30 3
12 23 19
27 7 22
25 27 10
15 27 9
5 11 7
5 41 8
32 15 21
33 17 15
5 2 16
8 33 10
32 31 1
20 17 17
25 4 13
13 10 21
24 17 25
37 33 21
6 21 2
18 17 21
32 7 21
15 23 6
25 30 24
8 24 24
28 30 11
33 32 3
38 25 8
28 39 7
11 5 1
2 28 8
29 21 25
11 38 16
17 11 20
32 7 25
21 5 12
31 8 12
1 31 3
31 19 21
37 36 8
41 9 10
33 20 15
28 30 6
8 28 16
24 3 4
11 34 23
37 21 10
26 37 3
30 9 7
5 14 3
30 20 4
18 6 20
22 1 4
1 8 5
26 15 20
28 26 22
24 2 16
4 24 3
38 16 11
37 40 9
16 27 23
14 39 4
32 22 22
34 3 11
16 8 9
31 30 12
26 3 14
40 28 9
4 21 6
18 10 12
8 36 1
23 36 23
21 39 18
1 4 2
27 40 3
35 31 11
32 6 9
21 1 9
16 23 2
38 32 1
25 10 17
39 5 14
11 41 2
38 4 9
36 4 16
6 4 23
37 9 3
31 14 13
30 15 9
13 6 17
3 7 9
29 5 20
8 1 15
18 4 7
31 26 9
21 4 14
1 34 20
6 38 25
6 11 8
31 6 21
15 40 11
30 11 15
13 35 11
24 27 17
16 14 10
16 33 23
2 23 7
41 38 21
18 1 24
17 5 23
6 11 3
29 19 25
20 41 15
13 23 23
39 26 22
26 31 24
3 14 25
4 38 7
39 14 16
4 7 19
10 28 1
4 8 11
19 26 16
16 22 13
7 5 2
41 38 11
23 1 22
13 18 24
26 40 1
41 8 16
8 34 15
6 15 18
1 6 14
22 15 17
35 26 2
36 25 5
39 40 23
12 39 21
15 35 20
7 38 21
9 4 21
36 9 20
18 26 11
38 21 5
39 3 24
21 37 14
8 22 22
22 37 8
28 39 6
21 18 18
41 10 24
10 1 5
4 18 9
14 13 5
21 40 14
27 6 23
12 39 11
34 20 1
27 15 19
1 23 24
16 17 4
19 21 16
21 2 23
24 30 2
17 8 9
41 6 3
22 32 9
9 14 6
9 14 24
12 30 19
16 36 4
3 35 5
3 35 14
24 22 20
4 25 21
19 35 13
7 41 -2
39 35 23
19 13 3
24 21 15
14 20 16
17 39 9
25 22 13
25 3 18
12 21 23
22 35 23
22 6 5
11 26 17
23 40 19
36 20 9
28 23 1
22 28 11
24 17 22
3 24 17
29 22 1
15 30 15
11 30 23
22 29 12
35 24 25
39 8 18
23 14 2
23 33 15
1 8 12
39 40 16
24 25 7
14 5 4
5 28 11
35 13 -3
20 11 14
39 24 4
23 6 21
21 1 12
19 16 8
37 10 2
38 39 25
16 31 18
38 23 8
9 21 21
18 36 8
28 3 5
13 2 18
18 17 4
32 34 21
26 6 8
29 14 1
3 30 19
39 28 10
21 36 15
26 15 4
8 4 10
1 11 12
5 36 10
37 9 6
4 24 5
15 14 25
33 12 8
14 27 5
2 5 8
37 40 2
22 27 18
32 41 10
13 10 8
19 35 16
22 29 2
40 17 2
30 31 10
41 39 16
28 38 3
21 5 13
38 12 11
13 17 16
1 19 20
10 21 6
29 28 6
9 17 5
17 14 13
8 13 10
24 16 15
21 31 25
37 21 2
35 1 9
5 31 11
33 7 9
31 27 3
11 2 21
2 24 11
30 7 16
2 15 20
40 16 9
39 41 23
20 37 20
10 9 4
28 25 23
34 17 13
15 2 9
20 26 20
27 24 15
37 15 25
24 4 13
41 30 24
34 10 19
40 1 16
25 29 5
28 2 11
10 28 4
